faimsAttributeID,faimsEntityAttributeName,attributeLocation,attributeorder,AttributeDescription
1.69E+11,OldBone_-_Grid_Square,Bone,1,Letter code as marked in south-west corner of square
1.69E+11,OldBone_-_ID_Number,Bone,2,Feature identification code as marked on tag
1.69E+11,OldBone_-_Cluster_Type,Bone,3,
1.69E+11,OldBone_-_Proportion_of_material_that_remains_in_situ,Bone,4,Select the proportion of visible bone that remains insitu
1.69E+11,OldBone_-_Body_Parts_Identifed,Bone,5,"Select those of the following that have been observed, both in situ and on the surface"
1.69E+11,OldBone_-_Taxon_Identified,Bone,6,Select those of the following that can be identified:
1.69E+11,OldBone_-_Bone_Preservation,Bone,7,Select those types of modification that are common on the visible bone:
1.69E+11,OldBone_-_Deliberate_Surface_Modification,Bone,8,Select those types of deliberate modification that occur in any proportion on the visible bone:
1.69E+11,OldBone_-_Topographic_Setting,Bone,9,Where on the lunette exposure is the old bone located?
1.69E+11,OldBone_-_Sediment_Type,Bone,10,"What are the sediments that encase the old bone, or upon which they are immediately lying?"
1.69E+11,OldBone_-_Stratigraphic_Unit,Bone,11,
1.69E+11,OldBone_-_Vulnerability_To_Erosion,Bone,12,"Based on the cluster type and its topographic setting, how vulnerable is the old bone?"
1.69E+11,OldBone_-_Palaeotopographic_Setting,Bone,13,Where is the old bone cluster located in relation to the original dune morphology?
1.69E+11,OldBone_-_Photos,Bone,14,"Take 2 images: 1. landscape/stratigraphic setting (to aid re-location), include horizon and nearby landmarks that will have some longevity 2. the feature itself (to aid identification) -- include the critical components of the feature like the in situ portion of a hearth or bone cluster"
1.69E+11,OldBone_-_Notes,Bone,15,Any additional information worth noting that has not been covered by the recording
1.69E+11,OldBone_-_Associated_in_situ_material,Bone Associated Insitu Materials,1,Select those of the following that have been observed in situ
1.69E+11,OldBone_-_Associated_surface_material,Bone Associated Surface Materials,1,Select those of the following that have been observed on the surface
1.69E+11,OldBone_-_Bivalve_preservation,Bone Associated Insitu Materials; Bone Associated Surface Materials,2; 2,
1.69E+11,OldBone_-_Burned_Mussel,Bone Associated Insitu Materials; Bone Associated Surface Materials,3; 3,
1.69E+11,OldBone_-_Associated_Hearth_Material,Bone Associated Insitu Materials; Bone Associated Surface Materials,4; 4,Select those of the following that have been observed:
1.69E+11,OldBone_-_Associated_Eggshell,Bone Associated Insitu Materials; Bone Associated Surface Materials,5; 5,Select those of the following that have been observed:
1.69E+11,OldBone_-_Burned_Eggshel,Bone Associated Insitu Materials; Bone Associated Surface Materials,6; 6,
1.69E+11,OldBone_-_Associated_Stone_Artefacts,Bone Associated Insitu Materials; Bone Associated Surface Materials,7; 7,Select those of the following that have been observed
1.69E+11,OldBone_-_Associated_Chipped_Stone_Artefacts,Bone Associated Insitu Materials; Bone Associated Surface Materials,8; 8,Select those of the following that have been observed:
1.69E+11,OldBone_-_Associated_Retouched_Artefacts,Bone Associated Insitu Materials; Bone Associated Surface Materials,9; 9,
1.69E+11,OldBone_-_Associated_Unmodified_Stone,Bone Associated Insitu Materials; Bone Associated Surface Materials,10; 10,Select those of the following that have been observed:
1.69E+11,OldBone_-_Ground_Stone_Types_Present,Bone Associated Insitu Materials; Bone Associated Surface Materials,11; 11,Select those of the following that have been observed:
1.69E+11,OldBone_-_Ground_Stone_Status,Bone Associated Insitu Materials; Bone Associated Surface Materials,12; 12,Is the ground material...:
1.69E+11,OldBone_-_Chipped_Stone_Raw_Material,Bone Associated Insitu Materials; Bone Associated Surface Materials,13; 13,Select those types of raw material that have been observed:
1.69E+11,OldBone_-_Unmodified_Stone_Raw_Material,Bone Associated Insitu Materials; Bone Associated Surface Materials,14; 14,Select those types of raw material that have been observed:
1.69E+11,OldBone_-_Ground_Stone_Raw_Material,Bone Associated Insitu Materials; Bone Associated Surface Materials,15; 15,Select those types of raw material that have been observed:
1.69E+11,OldBone_-_Associated_Other_Artefacts,Bone Associated Insitu Materials; Bone Associated Surface Materials,16; 16,Select those of the following that have been observed:
1.69E+11,Hearth_-_Grid_Square,Hearth,1,Letter code as marked in south-west corner of square
1.69E+11,Hearth_-_ID_Number,Hearth,2,Feature identification code as marked on tag
1.69E+11,Hearth_-_Hearth_Type,Hearth,3,
1.69E+11,Hearth_-_Brief_description,Hearth,4,"A few word description of an 'other' type of hearth or hearthstone, e.g. fish hearth, emu eggshell hearth, silcrete hearthstones"
1.69E+11,Hearth_-_Charcoal,Hearth,5,
1.69E+11,Hearth_-_Proportion_of_material_that_remains_in_situ,Hearth,6,Select the proportion of visible hearth material that remains in situ
1.69E+11,Hearth_-_Modification_of_heat-retainer_hearths,Hearth,7,Select the degree of post-exposure modification of the heat-retainer hearth:
1.69E+11,Hearth_-_Modification_of_non-heat_retainer_hearths,Hearth,8,Select the extent of post-exposure modification to non- heat retainer hearths:
1.69E+11,Hearth_-_Topographic_Setting,Hearth,9,Where on the lunette exposure is the hearth located?
1.69E+11,Hearth_-_Sediment_Type,Hearth,10,"What are the sediments that encase the hearth, or upon which they are immediately lying?"
1.69E+11,Hearth_-_Stratigraphic_Unit,Hearth,11,
1.69E+11,Hearth_-_Vulnerability_To_Erosion,Hearth,12,"Based on the cluster type and its topographic setting, how vulnerable is the hearth?"
1.69E+11,Hearth_-_Palaeotopographic_Setting,Hearth,13,Where is the hearth cluster located in relation to the original dune morphology?
1.69E+11,Hearth_-_Photos,Hearth,14,"Take 2 images: 1. landscape/stratigraphic setting (to aid re-location), include horizon and nearby landmarks that will have some longevity 2. the feature itself (to aid identification) -- include the critical components of the feature like the in situ portion of a hearth or bone cluster"
1.69E+11,Hearth_-_Notes,Hearth,15,Any additional information worth noting that has not been covered by the recording
1.69E+11,HearthAssoc_-_Associated_material,Hearth Associated Materials,1,
1.69E+11,HearthAssoc_-_Associated_lacustrine_material,Hearth Associated Materials,2,Select those of the following that have been observed
1.69E+11,HearthAssoc_-_Burnt_lacustrine_material,Hearth Associated Materials,3,Is any of it burnt?
1.69E+11,HearthAssoc_-_Associated_terrestrial_bone,Hearth Associated Materials,4,Select those of the following that have been identified (see Old Bone Reference Manual for more illustrations)
1.69E+11,HearthAssoc_-_Burnt_terrestrial_bone,Hearth Associated Materials,5,Is any of it burnt?
1.69E+11,HearthAssoc_-_Associated_eggshell,Hearth Associated Materials,6,Select those of the following that have been observed
1.69E+11,HearthAssoc_-_Burnt_eggshell,Hearth Associated Materials,7,Is any of it burnt?
1.69E+11,HearthAssoc_-_Associated_stone_artefacts,Hearth Associated Materials,8,Select those of the following that have been observed
1.69E+11,HearthAssoc_-_Associated_chipped_stone_artefacts,Hearth Associated Materials,9,Select those of the following that have been observed
1.69E+11,HearthAssoc_-_Associated_retouched_artefacts,Hearth Associated Materials,10,Select those of the following that have been observed
1.69E+11,HearthAssoc_-_Associated_unmodified_stone,Hearth Associated Materials,11,Select those of the following that have been observed
1.69E+11,HearthAssoc_-_Ground_stone_types_present,Hearth Associated Materials,12,Select those of the following that have been observed
1.69E+11,HearthAssoc_-_Ground_stone_status,Hearth Associated Materials,13,"If ground stone is present, is the ground material..."
1.69E+11,HearthAssoc_-_Chipped_Stone_Raw_Material,Hearth Associated Materials,14,Select those types of raw material that have been observed
1.69E+11,HearthAssoc_-_Unmodified_Raw_Material,Hearth Associated Materials,15,Select those types of raw material that have been observed
1.69E+11,HearthAssoc_-_Ground_stone_raw_material,Hearth Associated Materials,16,
1.69E+11,HearthAssoc_-_Associated_other_worked_(or_transported)_material,Hearth Associated Materials,17,Select those of the following that have been observed
1.69E+11,Isolated_-_Grid_Square,Isolated,1,
1.69E+11,Isolated_-_ID_Number,Isolated,2,
1.69E+11,Isolated_-_In_Situ_or_Surface,Isolated,3,"Note: only rare surface finds are recorded (modified bone, shell or eggshell, grindstones, crystal quartz); all other finds are recorded only if in situ"
1.69E+11,Isolated_-_Occurrence_Type,Isolated,4,
1.69E+11,Isolated_-_Stone_Raw_Material_Type,Isolated,5,
1.69E+11,Isolated_-_Modification_to_Organic_Material,Isolated,6,
1.69E+11,Isolated_-_Modification_to_Stone_Material,Isolated,7,
1.69E+11,Isolated_-_Topographic_Setting,Isolated,8,
1.69E+11,Isolated_-_Sediment_Type,Isolated,9,
1.69E+11,Isolated_-_Vulnerability_to_Erosion,Isolated,10,
1.69E+11,Isolated_-_Palaeotopographic_Setting,Isolated,11,
1.69E+11,Isolated_-_Notes,Isolated,12,Any additional information worth noting that has not been covered by the recording
1.69E+11,Isolated_-_Photos,Isolated,13,"Take 2 images: 1. landscape/stratigraphic setting (to aid re-location), include horizon and nearby landmarks that will have some longevity 2. the feature itself (to aid identification) -- include the critical components of the feature like the in situ portion of a hearth or bone cluster"
1.69E+11,Shell_-_Grid_Square,Shell,1,Letter code as marked in south-west corner of square
1.69E+11,Shell_-_ID_Number,Shell,2,Feature identification code as marked on tag
1.69E+11,Shell_-_Shell_Type,Shell,3,
1.69E+11,Shell_-_Continuity,Shell,4,Does it form a continuous blanket or is it patchy?
1.69E+11,Shell_-_Presence_of_charcoal,Shell,5,Select the type of charcoal visible in the shell midden
1.69E+11,Shell_-_Proportion_of_material_that_remains_in_situ,Shell,6,Select the proportion of visible shell material that remains in situ
1.69E+11,Shell_-_Bivalve_preservation,Shell,7,Select the degree of preservation of the shell material
1.69E+11,Shell_-_Bivalve_dispersal,Shell,8,
1.69E+11,Shell_-_Topographic_Setting,Shell,9,Where on the lunette exposure is the object located?
1.69E+11,Shell_-_Sediment_Type,Shell,10,"What are the sediments that encase the midden, or upon which they are immediately lying?"
1.69E+11,Shell_-_Stratigraphic_Unit,Shell,11,
1.69E+11,Shell_-_Vulnerability_To_Erosion,Shell,12,"Based on the cluster type and its topographic setting, how vulnerable is the midden?"
1.69E+11,Shell_-_Palaeotopographic_Setting,Shell,13,Where is the object cluster located in relation to the original dune morphology?
1.69E+11,Shell_-_Photos,Shell,14,"Take 2 images: 1. landscape/stratigraphic setting (to aid re-location), include horizon and nearby landmarks that will have some longevity 2. the feature itself (to aid identification) -- include the critical components of the feature like the in situ portion of a hearth or bone cluster"
1.69E+11,Shell_-_Notes,Shell,15,Any additional information worth noting that has not been covered by the recording
1.69E+11,ShellAssoc_-_Associated_material,Shell Associated Materials,1,Select those of the following that have been observed
1.69E+11,ShellAssoc_-_Associated_lacustrine_material,Shell Associated Materials,2,Select those of the following that have been observed
1.69E+11,ShellAssoc_-_Burnt_lacustrine_material,Shell Associated Materials,3,Is any of it burnt?
1.69E+11,ShellAssoc_-_Associated_terrestrial_bone,Shell Associated Materials,4,"If the bones of terrestrial animals are present in the midden, select which of those have been identified (refer to Bone module for more illustrations)"
1.69E+11,ShellAssoc_-_Burnt_terrestrial_bone,Shell Associated Materials,5,Is any of it burnt?
1.69E+11,ShellAssoc_-_Associated_eggshell,Shell Associated Materials,6,Select those of the following that have been observed
1.69E+11,ShellAssoc_-_Burnt_eggshell,Shell Associated Materials,7,Is any of it burnt?
1.69E+11,ShellAssoc_-_Associated_stone_artefacts,Shell Associated Materials,8,Select those of the following that have been observed
1.69E+11,ShellAssoc_-_Associated_chipped_stone_artefacts,Shell Associated Materials,9,Select those of the following that have been observed
1.69E+11,ShellAssoc_-_Associated_retouched_artefacts,Shell Associated Materials,10,Select those of the following that have been observed
1.69E+11,ShellAssoc_-_Associated_unmodified_stone,Shell Associated Materials,11,Select those of the following that have been observed
1.69E+11,ShellAssoc_-_Ground_stone_types_present,Shell Associated Materials,12,Select those of the following that have been observed
1.69E+11,ShellAssoc_-_Ground_stone_status,Shell Associated Materials,13,"If ground stone is present, is the ground material..."
1.69E+11,ShellAssoc_-_Ground_stone_raw_material,Shell Associated Materials,14,
1.69E+11,ShellAssoc_-_Chipped_Stone_Raw_Material,Shell Associated Materials,15,Select those types of raw material that have been observed
1.69E+11,ShellAssoc_-_Unmodified_Raw_Material,Shell Associated Materials,16,Select those types of raw material that have been observed
1.69E+11,ShellAssoc_-_Unmodified_Stone_Types,Shell Associated Materials,17,
1.69E+11,ShellAssoc_-_Associated_other_worked_(or_transported)_material,Shell Associated Materials,18,Select those of the following that have been observed
1.69E+11,Stone_-_Grid_Square,Stone Artefact Clusters,1,Letter code as marked in south-west corner of square
1.69E+11,Stone_-_ID_Number,Stone Artefact Clusters,2,Artefact identification code as marked on tag
1.69E+11,Stone_-_Cluster_Type,Stone Artefact Clusters,3,
1.69E+11,Stone_-_In_Situ_-_Stone_Artefacts,Stone Artefact Clusters,4,In situ stone artefacts present
1.69E+11,Stone_-_In_Situ_-_Chipped_Stone_Artefacts,Stone Artefact Clusters,5,In situ chipped stone artefacts present
1.69E+11,Stone_-_In_Situ_-_Retouched_Artefacts,Stone Artefact Clusters,6,In situ retouched artefacts present
1.69E+11,Stone_-_In_Situ_-_Unmodified_Stone_Types,Stone Artefact Clusters,7,
1.69E+11,Stone_-_In_Situ_-_Ground_Stone_Types,Stone Artefact Clusters,8,
1.69E+11,Stone_-_In_Situ_-_Ground_Stone_Status,Stone Artefact Clusters,9,Status of in situ ground stone artefacts
1.69E+11,Stone_-_In_Situ_-_Ground_Stone_Raw_Material,Stone Artefact Clusters,10,Raw materials for in situ ground stone artefacts
1.69E+11,Stone_-_In_Situ_-_Surface_Modification,Stone Artefact Clusters,11,Surface modification on in situ artefacts
1.69E+11,Stone_-_In_Situ_-_Potential_Refits,Stone Artefact Clusters,12,"List the number of refits for each raw material, or the number of artefacts likely to have been struck from the same core."
1.69E+11,Stone_-_In_Situ_-_Chipped_Stone_Raw_Material,Stone Artefact Clusters,13,Raw materials for in situ chipped stone artefacts
1.69E+11,Stone_-_In_Situ_-_Unmodified_Stone_Raw_Material,Stone Artefact Clusters,14,Select those types of raw material that have been observed:
1.69E+11,Stone_-_In_Situ_-_Unmodified_Raw_Materials,Stone Artefact Clusters,15,Select those types of raw material that have been observed:
1.69E+11,Stone_-_Surface_-_Potential_Refits,Stone Artefact Clusters,16,Indicate the number of artefact present that may have been derived from the same piece of stone
1.69E+11,Stone_-_Surface_-_Stone_Artefacts,Stone Artefact Clusters,17,Surface stone artefacts present
1.69E+11,Stone_-_Surface_-_Chipped_Stone_Artefacts,Stone Artefact Clusters,18,Surface chipped stone artefacts present
1.69E+11,Stone_-_Surface_-_Retouched_Artefacts,Stone Artefact Clusters,19,Surface retouched artefacts present
1.69E+11,Stone_-_Surface_-_Unmodified_Stone_Types,Stone Artefact Clusters,20,Surface unmodified rocks present
1.69E+11,Stone_-_Surface_-_Ground_Stone_Types,Stone Artefact Clusters,21,Surface ground stone types present
1.69E+11,Stone_-_Surface_-_Ground_Stone_Status,Stone Artefact Clusters,22,Status of surface ground stone artefacts
1.69E+11,Stone_-_Surface_-_Surface_-_Modification,Stone Artefact Clusters,23,Surface modifications observed on surface artefacts
1.69E+11,Stone_-_Surface_-_Chipped_Stone_Raw_Material,Stone Artefact Clusters,24,Raw materials for surface chipped stone artefacts
1.69E+11,Stone_-_Surface_-_Unmodified_Stone_Raw_Material,Stone Artefact Clusters,25,Raw materials for surface unmodified rocks
1.69E+11,Stone_-_Surface_-_Ground_Stone_Raw_Material,Stone Artefact Clusters,26,Raw materials for surface ground stone
1.69E+11,Stone_-_Surface_-_Surface_Modification,Stone Artefact Clusters,27,
1.69E+11,Stone_-_Topographic_Setting,Stone Artefact Clusters,28,Where on the lunette exposure is the artefact cluster located?
1.69E+11,Stone_-_Sediment_Type,Stone Artefact Clusters,29,"What are the sediments that encase the object, or upon which they are immediately lying?"
1.69E+11,Stone_-_Stratigraphic_Unit,Stone Artefact Clusters,30,
1.69E+11,Stone_-_Vulnerability_To_Erosion,Stone Artefact Clusters,31,"Based on the cluster type and its topographic setting, how vulnerable is the object?"
1.69E+11,Stone_-_Palaeotopographic_Setting,Stone Artefact Clusters,32,Where is the object cluster located in relation to the original dune morphology?
1.69E+11,Stone_-_Photos,Stone Artefact Clusters,33,"Take 2 images: 1. landscape/stratigraphic setting (to aid re-location), include horizon and nearby landmarks that will have some longevity 2. the feature itself (to aid identification) -- include the critical components of the feature like the in situ portion of a hearth or bone cluster"
1.69E+11,Stone_-_Notes,Stone Artefact Clusters,34,Any additional information worth noting that has not been covered by the recording
1.69E+11,Stone_-_In_Situ,Stone Associated Insitu; Stone Associated Surface,1; 1,
1.69E+11,Stone_-_Surface,Stone Associated Insitu; Stone Associated Surface,2; 2,
1.69E+11,Stone_-_Hearth,Stone Associated Insitu; Stone Associated Surface,3; 3,
1.69E+11,Stone_-_Lacustrine,Stone Associated Insitu; Stone Associated Surface,4; 4,
1.69E+11,Stone_-_Terrestrial,Stone Associated Insitu; Stone Associated Surface,5; 5,
1.69E+11,Stone_-_Eggshell,Stone Associated Insitu; Stone Associated Surface,6; 6,
1.69E+11,Stone_-_Other_Worked_or_Transported_Material,Stone Associated Insitu; Stone Associated Surface,7; 7,
